month,day,Qin
1,1,0.903708
1,2,0.860324
1,3,0.8574679999999999
1,4,0.888563
1,5,0.913303
1,6,0.963396
1,7,0.9320275
1,8,0.9618045
1,9,0.9195325000000001
1,10,0.8859765
1,11,0.9480819999999999
1,12,0.9757655
1,13,0.9733995
1,14,0.9784435
1,15,0.9899434999999999
1,16,1.0000505
1,17,1.076895
1,18,1.059496
1,19,1.0932705
1,20,1.1219545
1,21,1.095463
1,22,1.0946514999999999
1,23,1.189953
1,24,1.159912
1,25,1.130077
1,26,1.1199685
1,27,1.145607
1,28,1.0912675
1,29,1.0639210000000001
1,30,1.0659014999999998
1,31,1.0431535
2,1,1.0103155
2,2,1.045924
2,3,1.084533
2,4,1.0900820000000002
2,5,1.071591
2,6,1.1283125
2,7,1.0840395
2,8,1.0785339999999999
2,9,1.094962
2,10,1.1009639999999998
2,11,1.1052105
2,12,1.1924055
2,13,1.3837185
2,14,1.394229
2,15,1.273007
2,16,1.3722515
2,17,1.2581704999999999
2,18,1.1747100000000001
2,19,1.1858525
2,20,1.2618415
2,21,1.2288995
2,22,1.297995
2,23,1.448401
2,24,1.445029
2,25,1.469411
2,26,1.345518
2,27,1.3382904999999998
2,28,1.3437775
2,29,1.622654
2,30,
2,31,
3,1,1.5400755
3,2,1.529692
3,3,1.4550155
3,4,1.3908945
3,5,1.346193
3,6,1.3355465
3,7,1.4115069999999998
3,8,1.522322
3,9,1.5637575
3,10,1.642785
3,11,1.579678
3,12,1.4913705
3,13,1.502772
3,14,1.514341
3,15,1.54785
3,16,1.5733804999999998
3,17,1.6242515
3,18,1.5852469999999999
3,19,1.5489525
3,20,1.602722
3,21,1.6956829999999998
3,22,1.8158879999999997
3,23,2.142391
3,24,2.3009795
3,25,2.4576385
3,26,2.4999589999999996
3,27,2.4919975
3,28,2.3218645
3,29,2.388795
3,30,2.3276065
3,31,2.3755594999999996
4,1,2.297439
4,2,2.3862249999999996
4,3,2.2569524999999997
4,4,2.2028870000000005
4,5,2.3209400000000002
4,6,2.5114725
4,7,2.6967605
4,8,2.7876335
4,9,2.76549
4,10,2.8994055000000003
4,11,2.8232915
4,12,2.9427495
4,13,2.817927
4,14,2.905716
4,15,2.9380870000000003
4,16,2.81383
4,17,2.890081
4,18,2.8245655000000003
4,19,2.7653485
4,20,2.6964305
4,21,2.6387419999999997
4,22,2.7530115
4,23,3.0212725000000002
4,24,2.941404
4,25,3.0195365
4,26,3.133071
4,27,3.1677985
4,28,3.168801
4,29,3.1778165
4,30,3.2321014999999997
4,31,
5,1,3.3124895
5,2,3.478027
5,3,3.462998
5,4,3.4977400000000003
5,5,3.5769365000000004
5,6,3.4905205
5,7,3.4873265
5,8,3.6750160000000003
5,9,3.6388175
5,10,3.5381584999999998
5,11,3.2723665
5,12,3.0716535
5,13,3.0856185
5,14,3.0737335
5,15,3.0041320000000002
5,16,3.255465
5,17,3.4330800000000004
5,18,3.355391
5,19,3.045285
5,20,3.096248
5,21,3.27833
5,22,3.103529
5,23,2.6969135
5,24,2.593534
5,25,2.341116
5,26,2.1894105
5,27,2.1129014999999995
5,28,1.9484235
5,29,1.97778
5,30,2.180702
5,31,1.959918
6,1,1.7893905
6,2,1.7494695
6,3,1.6696785
6,4,1.565166
6,5,1.437918
6,6,1.273387
6,7,1.0755085
6,8,1.125583
6,9,1.09501
6,10,1.0814485
6,11,1.0450530000000002
6,12,0.9692915
6,13,0.9130535
6,14,0.8736865
6,15,0.8213455000000001
6,16,0.75488
6,17,0.7013525
6,18,0.6343515
6,19,0.604846
6,20,0.5779605
6,21,0.545491
6,22,0.5176745
6,23,0.493885
6,24,0.47331900000000005
6,25,0.4546055
6,26,0.4424045
6,27,0.4543245
6,28,0.4532835
6,29,0.48727600000000004
6,30,0.469096
6,31,
7,1,0.4518575
7,2,0.435484
7,3,0.4189345
7,4,0.3974985
7,5,0.37855099999999997
7,6,0.36486450000000004
7,7,0.35202900000000004
7,8,0.324881
7,9,0.3094595
7,10,0.3005635
7,11,0.2924605
7,12,0.28486999999999996
7,13,0.2833125
7,14,0.279671
7,15,0.271853
7,16,0.27127049999999997
7,17,0.263385
7,18,0.256425
7,19,0.2503055
7,20,0.23736300000000002
7,21,0.231629
7,22,0.2262135
7,23,0.221084
7,24,0.21620899999999998
7,25,0.211474
7,26,0.206886
7,27,0.2041175
7,28,0.2021015
7,29,0.198122
7,30,0.1937465
7,31,0.189626
8,1,0.19398100000000001
8,2,0.190109
8,3,0.188827
8,4,0.1828265
8,5,0.1793545
8,6,0.184191
8,7,0.1812475
8,8,0.177288
8,9,0.18674400000000002
8,10,0.182859
8,11,0.1766955
8,12,0.1793475
8,13,0.1769395
8,14,0.181496
8,15,0.177356
8,16,0.17335
8,17,0.172099
8,18,0.166378
8,19,0.1626415
8,20,0.166533
8,21,0.164714
8,22,0.161785
8,23,0.161944
8,24,0.15758099999999997
8,25,0.156506
8,26,0.1546055
8,27,0.150503
8,28,0.149786
8,29,0.14666650000000003
8,30,0.1468715
8,31,0.14948250000000002
9,1,0.151629
9,2,0.14896700000000002
9,3,0.1464735
9,4,0.1444425
9,5,0.144377
9,6,0.1384955
9,7,0.136973
9,8,0.1339825
9,9,0.134989
9,10,0.135522
9,11,0.1328585
9,12,0.134042
9,13,0.13058399999999998
9,14,0.137772
9,15,0.13916699999999999
9,16,0.13863599999999998
9,17,0.13774799999999998
9,18,0.13750849999999998
9,19,0.1352135
9,20,0.132867
9,21,0.1399625
9,22,0.138632
9,23,0.135653
9,24,0.13458799999999999
9,25,0.14193899999999998
9,26,0.1395695
9,27,0.1396905
9,28,0.1496805
9,29,0.1573945
9,30,0.1501605
9,31,
10,1,0.222761
10,2,0.23039750000000003
10,3,0.2333515
10,4,0.2090765
10,5,0.21432400000000001
10,6,0.230184
10,7,0.2929755
10,8,0.28033949999999996
10,9,0.2895535
10,10,0.3458985
10,11,0.37026099999999995
10,12,0.3429565
10,13,0.3429685
10,14,0.32303950000000003
10,15,0.37069050000000003
10,16,0.340124
10,17,0.3233385
10,18,0.3463475
10,19,0.35907500000000003
10,20,0.362259
10,21,0.38676299999999997
10,22,0.3712985
10,23,0.42472699999999997
10,24,0.5298240000000001
10,25,0.49951450000000003
10,26,0.4504985
10,27,0.51092
10,28,0.536611
10,29,0.5592280000000001
10,30,0.6268885
10,31,0.591008
11,1,0.5778829999999999
11,2,0.560789
11,3,0.5617570000000001
11,4,0.5421225
11,5,0.5441750000000001
11,6,0.6678965
11,7,0.7674615
11,8,0.8264855
11,9,0.8112125
11,10,0.8331625
11,11,0.9023795
11,12,0.9410885
11,13,0.9613755
11,14,1.016246
11,15,0.9937535
11,16,0.9294835
11,17,0.948021
11,18,0.903932
11,19,0.8501799999999999
11,20,0.8732570000000001
11,21,0.8573305
11,22,0.8720549999999999
11,23,0.7938780000000001
11,24,0.8551435
11,25,0.8990805
11,26,1.0246865
11,27,0.9610865000000001
11,28,0.9610139999999999
11,29,1.0360445
11,30,1.008059
11,31,
12,1,1.052557
12,2,1.163757
12,3,1.2456625
12,4,1.2289245
12,5,1.2100125
12,6,1.2196365
12,7,1.2451880000000002
12,8,1.1979335
12,9,1.1474630000000001
12,10,1.155401
12,11,1.1445224999999999
12,12,1.2049105
12,13,1.11697
12,14,1.0940249999999998
12,15,1.0260265
12,16,0.9599345
12,17,1.026197
12,18,1.0516480000000001
12,19,1.1594655
12,20,1.1252815
12,21,1.1368045
12,22,1.0554005
12,23,1.015293
12,24,0.9394335
12,25,0.9566825
12,26,0.963766
12,27,0.975606
12,28,1.0037535000000002
12,29,1.0268955
12,30,0.9768565
12,31,0.916673
